gene,rho,pval,abs_rho
MGST1,-0.14499574185476088,7.698284484336421e-70,0.14499574185476088
TNFAIP2,-0.14488295343451094,9.845700623162361e-70,0.14488295343451094
MPP7,-0.14478432627044982,1.2207104898652882e-69,0.14478432627044982
WDR74,-0.14419965944716312,4.352496315037102e-69,0.14419965944716312
VNN2,-0.14394049306187912,7.633783452920991e-69,0.14394049306187912
CKS2,0.1433509153855486,2.729765342338392e-68,0.1433509153855486
FOSB,-0.14304141541618648,5.317221676764713e-68,0.14304141541618648
ZFAT,0.14154027859410026,1.3210458214115733e-66,0.14154027859410026
CDC42EP3,-0.14129300039690168,2.2350653260856915e-66,0.14129300039690168
EREG,-0.14066597057475214,8.443630052470651e-66,0.14066597057475214
GAPDH,-0.14028877394185868,1.8728167921155978e-65,0.14028877394185868
FBXL5,-0.14003705513221615,3.1830146411702677e-65,0.14003705513221615
TMEM154,-0.1397989006377618,5.2526208742899405e-65,0.1397989006377618
IRAK3,-0.13959462221066174,8.066131831623704e-65,0.13959462221066174
HSPA8,0.13873246758538088,4.895509326091362e-64,0.13873246758538088
MTSS1,0.13867622921109235,5.504369971369108e-64,0.13867622921109235
NEAT1,-0.13855779716983105,7.044471695137421e-64,0.13855779716983105
NLRP3,-0.13754844518159,5.716582343903737e-63,0.13754844518159
TFRC,0.13728944886780833,9.757780146080545e-63,0.13728944886780833
TCF7L2,0.13724044562562282,1.0795338510071498e-62,0.13724044562562282
CYFIP2,0.13695688810247283,1.9358031721497784e-62,0.13695688810247283
PER1,-0.13686303268469258,2.3479562850533956e-62,0.13686303268469258
SLC25A37,-0.13666385139793794,3.535056799007786e-62,0.13666385139793794
GPCPD1,-0.13625488670145453,8.173950137563638e-62,0.13625488670145453
YPEL3,-0.13582043724588216,1.985733307347521e-61,0.13582043724588216
CCL4,0.13566584484877695,2.7213565701394845e-61,0.13566584484877695
LTB,0.1351045045985829,8.519303148513244e-61,0.1351045045985829
CREM,0.13448497179795177,2.9850079191963246e-60,0.13448497179795177
QPCT,-0.13417474020524842,5.580292247724616e-60,0.13417474020524842
CPVL,-0.13394897426323576,8.789910740019968e-60,0.13394897426323576
PMEPA1,0.13291257490705222,7.005635136217795e-59,0.13291257490705222
CTSD,0.13250625010897388,1.5736380885580494e-58,0.13250625010897388
